"","X","gender","age","married","employed","educated_in_us","highest_degree","education_years","labor_income"
"439",439,2,8,0,NA,0,"no college",0,0
"440",440,2,7,0,NA,0,"no college",0,0
"441",441,2,5,0,NA,0,"no college",0,0
"442",442,2,5,0,NA,0,"no college",0,0
"443",443,1,58,1,"employed",1,"associate",14,0
"444",444,2,67,1,"retired",3,"no college",12,0
"445",445,2,49,1,"employed",1,"bachelor",16,0
"446",446,2,65,1,"employed",1,"no college",8,0
"447",447,2,62,0,"employed",1,"no college",13,0
"448",448,1,20,0,"employed",1,"no college",12,7000
"449",449,1,68,1,"retired",1,"no college",14,0
"450",450,2,63,1,"retired",1,"no college",12,0
"451",451,1,54,1,"employed",1,"no college",13,0
"452",452,2,44,1,"employed",1,"no college",12,0
"453",453,2,17,0,"student",1,"no college",11,0
"454",454,2,17,0,"student",1,"no college",11,0
"455",455,2,52,0,"employed",0,"no college",0,10847
"456",456,2,34,1,"employed",1,"no college",12,0
"457",457,2,26,0,"NA",1,"no college",13,0
"458",458,2,29,1,"employed",1,"no college",12,0
"459",459,2,25,1,"employed",1,"bachelor",16,0
"460",460,2,39,1,"employed",1,"no college",11,0
"461",461,2,80,0,"retired",1,"no college",11,0
"462",462,2,52,0,"unemployed",1,"no college",12,0
"463",463,2,41,0,"keeping house",1,"no college",10,0
"464",464,2,25,1,"disabled",1,"no college",8,0
"465",465,2,24,0,"unemployed",1,"no college",10,0
"466",466,2,2,0,NA,0,"no college",0,0
"467",467,2,3,0,NA,0,"no college",0,0
"468",468,1,2,0,NA,0,"no college",0,0
"469",469,2,24,0,"employed",1,"no college",12,0
"470",470,1,29,1,"employed",1,"no college",12,0
"471",471,1,32,0,"keeping house",1,"no college",0,0
"472",472,1,5,0,NA,0,"no college",0,0
"473",473,1,45,0,"NA",1,"no college",12,10847
"474",474,2,70,1,"retired",1,"no college",12,0
"475",475,1,68,1,"employed",1,"bachelor",17,0
"476",476,2,47,0,"employed",1,"bachelor",17,0
"477",477,1,41,1,"employed",1,"no college",17,0
"478",478,2,46,1,"employed",1,"no college",17,0
"479",479,2,26,0,"employed",1,"no college",14,0
"480",480,1,21,0,"employed",1,"no college",13,0
"481",481,1,19,0,"employed",1,"no college",13,13847
"482",482,2,16,0,"student",1,"no college",11,3000
"483",483,1,16,0,"student",1,"no college",9,0
"484",484,1,15,0,NA,0,"no college",0,0
"485",485,1,12,0,NA,0,"no college",0,0
"486",486,2,10,0,NA,0,"no college",0,0
"487",487,1,71,1,"employed",1,"no college",12,0
"488",488,2,65,1,"employed",1,"no college",14,0
"489",489,1,47,1,"employed",1,"no college",13,0
"490",490,2,35,1,"employed",1,"bachelor",16,0
"491",491,1,27,0,NA,0,"no college",0,0
"492",492,1,66,1,"employed",1,"doctorate",17,0
"493",493,1,65,1,"retired",1,"master",17,0
"494",494,2,60,1,"employed",1,"master",17,0
"495",495,2,38,1,"employed",1,"master",17,0
"496",496,1,36,1,"employed",1,"master",17,0
"497",497,2,28,1,"employed",1,"other",16,0
"498",498,1,27,0,"employed",1,"no college",16,48000
"499",499,1,24,1,"employed",1,"associate",15,0
